Percentage at School,Percentage at College,Hours Studing per day,Interested in extracurricular activites?,Self-learning capability?,Are you Introvert?,Area That Align with Your Mission,Skills,Interested Subjects,Hobbies,Fulfilling Activity,Strengths,Suggested Job Role
69,77,4,1,3,0,Healthcare,communication skills,Medicine,Meditation,regional anesthesia,Charismatic,Anesthesiologist
75,74,5,0,4,1,Healthcare,risk assessment,Medicine,Gardening,airway management,Strategic,Anesthesiologist
90,62,6,1,5,0,Healthcare,teamwork in surgery,Medicine,Gardening,anesthesia equipment,Focused,Anesthesiologist
79,60,8,0,3,0,Technology and Innovation,Anesthesia,Medicine,Writing  ,preoperative assessment,Focus,Anesthesiologist
81,71,8,1,2,0,Healthcare,patient education,Medicine,Yoga,postoperative care,Engaging,Anesthesiologist
68,75,9,0,3,1,Healthcare,clinical research,Medicine,Yoga,critical care,Innovative,Anesthesiologist
73,66,7,0,1,1,Healthcare,anesthesia protocols,Medicine,Meditation,clinical research,Ethical,Anesthesiologist
84,64,12,0,5,1,Healthcare,postoperative care,Medicine,Yoga,patient education,Supportive,Anesthesiologist
70,67,3,1,1,1,Healthcare,preoperative assessment,Medicine,Gardening,anesthesia protocols,Empathetic,Anesthesiologist
85,75,10,1,4,1,Healthcare,pain management,Medicine,Reading medical journals,teamwork in surgery,Compassionate,Anesthesiologist
78,68,9,1,3,0,Healthcare,patient monitoring,Medicine,Yoga,risk assessment,Detail-oriented,Anesthesiologist
82,70,11,1,5,1,Healthcare,sedation techniques,Medicine,Yoga,communication skills,Technical,Anesthesiologist
88,76,4,0,4,1,Healthcare,anesthesia equipment,Medicine,Reading medical journals,ethical considerations,Knowledgeable,Anesthesiologist
76,65,8,0,2,1,Healthcare,emergency response,Medicine,Reading medical journals,Anesthesia Administration,Quick-thinking,Anesthesiologist
80,72,7,1,4,0,Healthcare,pharmacology,Medicine,Meditation,Anesthesia,Analytical,Anesthesiologist
74,78,6,0,5,1,Healthcare,regional anesthesia,Medicine,Gardening,Engaging with Medicine,Resourceful,Anesthesiologist
79,73,5,1,3,0,Healthcare,airway management,Medicine,Meditation,Engaging with Medicine,Collaborative,Anesthesiologist
77,69,10,1,4,0,Healthcare,critical care,Medicine,Meditation,Engaging with Medicine,Insightful,Anesthesiologist
66,93,9,0,2,0,Healthcare,Anesthesia Management,Medicine,Photography  ,Anesthesia Management,Precision,Anesthetist
81,80,11,0,3,0,Cultural Preservation,Character Design,Animation,Creative Workshops  ,Creativity,Storytelling,Animator
87,72,8,0,2,1,Cultural Preservation,motion graphics,Animation,Cybersecurity,Character Design,Resourceful,Animator
90,76,11,1,5,1,Cultural Preservation,visual effects,Animation,Troubleshooting,timing and spacing,Innovative,Animator
85,78,9,1,3,0,Cultural Preservation,3D modeling,Animation,Data Management,character design,Technical,Animator
88,75,12,0,4,0,Cultural Preservation,storyboarding,Animation,Connectivity,collaboration with teams,Detail-oriented,Animator
64,75,11,0,3,1,Cultural Preservation,Creativity,Animation,Traveling  ,character animation,Creativity,Animator
92,80,10,0,5,1,Cultural Preservation,character animation,Animation,IT Solutions,storyboarding,Creative,Animator
78,70,3,1,1,1,Cultural Preservation,collaboration with teams,Animation,Filmmaking,3D modeling,Communicative,Animator
81,75,4,0,4,1,Cultural Preservation,character design,Animation,Creative Writing,visual effects,Visionary,Animator
84,74,7,1,4,0,Cultural Preservation,rigging,Animation,Routing,motion graphics,Problem-solving,Animator
79,73,6,0,5,1,Cultural Preservation,animation software proficiency,Animation,Network Management,rigging,Organized,Animator
66,70,5,1,3,0,Cultural Preservation,timing and spacing,Animation,Directing,animation software proficiency,Insightful,Animator
87,72,3,1,1,1,Cultural Preservation,urban planning,Architecture,Fitness,Design,Strategic,Architect
84,71,5,1,3,0,Cultural Preservation,site analysis,Architecture,Playing instruments,design development,Resourceful,Architect
86,73,6,0,5,1,Cultural Preservation,CAD software proficiency,Architecture,Sports,project management,Proficient,Architect
72,78,11,1,1,1,Cultural Preservation,Design,Architecture,Exploring Art  ,building codes,Vision,Architect
88,75,7,1,4,0,Cultural Preservation,client communication,Architecture,Sketching,sustainable design,Communicative,Architect
90,74,8,0,2,1,Cultural Preservation,architectural visualization,Architecture,Film-making,architectural visualization,Technical,Architect
94,76,11,1,5,1,Cultural Preservation,sustainable design,Architecture,Reading,client communication,Innovative,Architect
89,78,9,1,3,0,Cultural Preservation,building codes,Architecture,Volunteering,CAD software proficiency,Analytical,Architect
92,80,12,0,4,1,Cultural Preservation,project management,Architecture,Gardening,site analysis,Detail-oriented,Architect
95,82,10,1,5,1,Cultural Preservation,design development,Architecture,Cooking,construction documentation,Creative,Architect
67,90,9,1,3,0,Cultural Preservation,Design,Architecture,Cooking  ,urban planning,Vision,Architect
91,79,4,0,4,1,Cultural Preservation,construction documentation,Architecture,Blogging,Engaging with Design,Organized,Architect
68,66,3,1,1,1,Technology and Innovation,collaboration with scientists,Astronomy,Consulting,Analyzing celestial data,Team-oriented,Astronomer
66,74,9,1,3,0,Technology and Innovation,astrophysics,Astronomy,Performing in dance shows,Discovering new phenomena,Innovative,Astronomer
80,70,11,1,5,1,Technology and Innovation,telescope operation,Astronomy,Studying various dance styles,Modeling planetary systems,Technical,Astronomer
78,65,8,0,2,1,Technology and Innovation,celestial mechanics,Astronomy,Business strategy,Exploring cosmic origins,Problem-solving,Astronomer
67,76,7,1,4,0,Technology and Innovation,research methodologies,Astronomy,Data analysis,Collaborating on missions,Resourceful,Astronomer
64,73,6,0,5,1,Technology and Innovation,scientific writing,Astronomy,Market research,Mapping star positions,Communicative,Astronomer
70,79,5,1,3,0,Technology and Innovation,programming for simulations,Astronomy,Financial modeling,Observing distant galaxies,Tech-savvy,Astronomer
77,72,4,0,4,1,Technology and Innovation,public outreach,Astronomy,Problem-solving,Studying black holes,Engaging,Astronomer
75,68,10,1,5,1,Technology and Innovation,observational techniques,Astronomy,Attending dance workshops,Analyzing cosmic radiation,Detail-oriented,Astronomer
72,78,12,0,4,1,Technology and Innovation,data analysis,Astronomy,Creating dance routines,Predicting celestial events,Analytical,Astronomer
72,78,12,0,4,1,Economic Development,market research,Marketing,Volunteering  ,brand development,Analytical,Brand Manager
75,68,10,1,5,1,Economic Development,brand development,Marketing,Fitness  ,market research,Leadership,Brand Manager
66,74,9,1,3,0,Economic Development,campaign management,Marketing,Learning about History  ,campaign management,Creative,Brand Manager
62,78,7,0,1,1,Economic Development,brand loyalty programs,Marketing,Creative Brainstorming  ,digital marketing,Adaptable,Brand Manager
65,63,10,0,1,0,Economic Development,Strategy,Marketing,Fashion Shows  ,product positioning,Strategy,Brand Manager
66,93,5,1,4,1,Economic Development,Brand Development,Marketing,Creative Design  ,brand strategy,Leadership,Brand Manager
61,63,10,1,4,1,Economic Development,Brand Strategy,Marketing,Cooking Classes  ,customer engagement,Creativity,Brand Manager
63,71,3,0,2,1,Economic Development,brand storytelling,Marketing,Socializing  ,advertising strategies,Insightful,Brand Manager
69,75,4,1,3,0,Economic Development,market segmentation,Marketing,Yoga  ,brand equity analysis,Engaging,Brand Manager
74,72,5,0,4,1,Economic Development,visual branding,Marketing,Sketching  ,social media management,Supportive,Brand Manager
80,64,6,1,5,0,Economic Development,brand audits,Marketing,Gardening  ,competitive analysis,Results-driven,Brand Manager
90,67,10,1,3,0,Economic Development,Brand Strategy,Marketing,Exploring Trends  ,brand messaging,Creativity,Brand Manager
76,70,8,1,2,0,Economic Development,influencer partnerships,Marketing,Attending Workshops  ,event marketing,Ethical,Brand Manager
65,74,9,0,3,1,Economic Development,event marketing,Marketing,Exploring Art  ,influencer partnerships,Strategic,Brand Manager
63,77,12,0,1,1,Economic Development,Branding,Marketing,Dancing  ,brand loyalty programs,Vision,Brand Manager
79,75,12,0,5,1,Economic Development,competitive analysis,Marketing,Volunteering  ,brand audits,Knowledgeable,Brand Manager
68,66,3,1,1,1,Economic Development,social media management,Marketing,Cooking  ,visual branding,Engaging,Brand Manager
77,72,4,0,4,1,Economic Development,brand equity analysis,Marketing,Traveling  ,market segmentation,Insightful,Brand Manager
70,79,5,1,3,0,Economic Development,advertising strategies,Marketing,Fitness  ,brand storytelling,Organized,Brand Manager
64,73,6,0,5,1,Economic Development,customer engagement,Marketing,Photography  ,Brand Development,Collaborative,Brand Manager
67,76,7,1,4,0,Economic Development,brand strategy,Marketing,Creative Writing  ,Strategy,Resourceful,Brand Manager
78,65,8,0,2,1,Economic Development,product positioning,Marketing,Networking  ,Brand Strategy,Innovative,Brand Manager
80,70,11,1,5,1,Economic Development,digital marketing,Marketing,Reading  ,Branding,Strategic,Brand Manager
73,67,10,1,4,0,Economic Development,brand messaging,Marketing,Meditation  ,Engaging with Marketing,Detail-oriented,Brand Manager
72,78,12,0,4,1,Economic Development,market analysis,Marketing,Outdoor Adventures  ,Brand Development,Analytical,Brand Strategist
75,68,10,1,5,1,Economic Development,brand positioning,Marketing,Reading Psychology Books  ,Brand Positioning,Strategic,Brand Strategist
65,79,8,1,3,1,Economic Development,Strategy,Marketing,Art Appreciation  ,Strategy,Vision,Brand Strategist
69,81,4,0,5,0,Economic Development,Brand Positioning,Marketing,Music  ,brand positioning,Visionary,Brand Strategist
76,89,9,0,5,1,Economic Development,Brand Development,Marketing,Baking  ,market analysis,Visionary,Brand Strategist
66,74,9,1,3,0,Economic Development,consumer insights,Marketing,Mental Health Awareness  ,consumer insights,Creative,Brand Strategist
68,66,3,1,1,1,Economic Development,brand performance metrics,Marketing,Building Models  ,campaign development,Engaging,Brand Strategist
64,73,6,0,5,1,Economic Development,digital strategy,Marketing,Crafting  ,brand messaging,Collaborative,Brand Strategist
70,79,5,1,3,0,Economic Development,brand equity management,Marketing,Listening to Music  ,competitive analysis,Organized,Brand Strategist
77,72,4,0,4,1,Economic Development,stakeholder engagement,Marketing,Camping  ,digital strategy,Insightful,Brand Strategist
80,70,11,1,5,1,Economic Development,campaign development,Marketing,Drama  ,brand equity management,Innovative,Brand Strategist
67,76,7,1,4,0,Economic Development,competitive analysis,Marketing,Theater  ,stakeholder engagement,Resourceful,Brand Strategist
78,65,8,0,2,1,Economic Development,brand messaging,Marketing,Film Appreciation  ,brand performance metrics,Detail-oriented,Brand Strategist
75,68,10,1,5,1,Economic Development,financial modeling,Finance,Studying various dance styles,Analyzing business trends,Detail-oriented,Business Analyst
72,78,12,0,4,1,Economic Development,risk assessment,Finance,Organizing dance events,Creating process models,Analytical,Business Analyst
66,74,9,1,3,0,Economic Development,budgeting,Finance,Watching dance performances,Gathering client requirements,Strategic,Business Analyst
73,67,10,1,4,0,Economic Development,variance analysis,Finance,Reading case studies,Identifying pain points,Knowledgeable,Business Analyst
65,74,9,0,3,1,Economic Development,credit analysis,Finance,Volunteering in legal aid organizations,Preparing project reports,Adaptable,Business Analyst
66,79,2,1,1,1,Economic Development,customer relationship management,Finance,Public speaking,Designing business workflows,Engaging,Business Analyst
67,76,7,1,4,0,Economic Development,financial reporting,Finance,Advocacy,Optimizing operational efficiency,Resourceful,Business Analyst
64,73,6,0,5,1,Economic Development,data analysis,Finance,Public speaking,Conducting stakeholder meetings,Communicative,Business Analyst
70,79,5,1,3,0,Economic Development,market research,Finance,Negotiation,Evaluating business strategies,Insightful,Business Analyst
78,65,8,0,2,1,Economic Development,investment analysis,Finance,Legal research,Tracking performance metrics,Problem-solving,Business Analyst
63,71,3,0,2,1,Economic Development,operational efficiency,Finance,Advocacy,Presenting data insights,Insightful,Business Analyst
69,75,4,1,3,0,Economic Development,financial audits,Finance,Legal research,Facilitating team collaboration,Ethical,Business Analyst
80,64,6,1,5,0,Economic Development,portfolio management,Finance,Contract drafting,Documenting project requirements,Results-driven,Business Analyst
74,72,5,0,4,1,Economic Development,investment strategies,Finance,Participating in mock trials,Developing cost analysis,Supportive,Business Analyst
76,70,8,1,2,0,Economic Development,financial systems,Finance,Studying laws from different countries,Suggesting process improvements,Tech-savvy,Business Analyst
77,72,4,0,4,1,Economic Development,performance metrics,Finance,Writing legal documents,Benchmarking against competitors,Supportive,Business Analyst
68,66,3,1,1,1,Economic Development,financial forecasting,Finance,Attending legal seminars,Leading requirement workshops,Ethical,Business Analyst
79,75,12,0,5,1,Economic Development,cash flow analysis,Finance,Mentoring junior lawyers,Interpreting market trends,Visionary,Business Analyst
62,78,7,0,1,1,Economic Development,regulatory compliance,Finance,Litigation preparation,Driving strategic decisions,Strategic,Business Analyst
80,70,11,1,5,1,Economic Development,compliance analysis,Finance,Acting,Enhancing business operations,Organized,Business Analyst
64,73,6,0,5,1,Nourishment and Culinary Excellence,cardiac rehabilitation,Medicine,Attending Conferences  ,cardiology expertise,Collaborative,Cardiologist
80,70,11,1,5,1,Nourishment and Culinary Excellence,heart failure management,Medicine,Crafting  ,echocardiography,Compassionate,Cardiologist
66,74,9,1,3,0,Nourishment and Culinary Excellence,interventional cardiology,Medicine,Cooking for Fun  ,interventional cardiology,Problem-solving,Cardiologist
67,76,7,1,4,0,Nourishment and Culinary Excellence,preventive cardiology,Medicine,Learning New Software  ,heart failure management,Innovative,Cardiologist
78,65,8,0,2,1,Nourishment and Culinary Excellence,arrhythmia treatment,Medicine,Tech Exploration  ,arrhythmia treatment,Resourceful,Cardiologist
77,72,4,0,4,1,Nourishment and Culinary Excellence,patient education,Medicine,Painting  ,preventive cardiology,Insightful,Cardiologist
72,78,12,0,4,1,Nourishment and Culinary Excellence,echocardiography,Medicine,Fitness Challenges  ,cardiac rehabilitation,Detail-oriented,Cardiologist
70,79,5,1,3,0,Nourishment and Culinary Excellence,clinical research,Medicine,Hiking  ,clinical research,Organized,Cardiologist
75,68,10,1,5,1,Nourishment and Culinary Excellence,cardiology expertise,Medicine,Traveling for Inspiration  ,patient education,Analytical,Cardiologist
90,82,11,1,5,1,Nourishment and Culinary Excellence,flavor pairing,Culinary Arts,Volunteering,Culinary,Innovative,Chef
76,70,9,1,3,0,Nourishment and Culinary Excellence,food safety standards,Culinary Arts,Chess,culinary techniques,Knowledgeable,Chef
84,71,3,0,2,1,Nourishment and Culinary Excellence,event catering,Culinary Arts,Reading,menu planning,Strategic,Chef
84,78,8,0,2,1,Nourishment and Culinary Excellence,kitchen management,Culinary Arts,Creative writing,food safety standards,Organized,Chef
86,73,4,1,3,0,Nourishment and Culinary Excellence,customer feedback,Culinary Arts,Storytelling,flavor pairing,Insightful,Chef
85,80,10,1,5,1,Nourishment and Culinary Excellence,culinary techniques,Culinary Arts,Budget planning,kitchen management,Creative,Chef
88,76,5,0,4,1,Nourishment and Culinary Excellence,culinary trends,Culinary Arts,Blogging,plating and presentation,Trend-aware,Chef
90,85,6,1,5,0,Nourishment and Culinary Excellence,seasonal cooking,Culinary Arts,Creative writing,ingredient sourcing,Adaptable,Chef
78,70,7,0,1,1,Nourishment and Culinary Excellence,kitchen safety,Culinary Arts,Budget planning,culinary creativity,Ethical,Chef
80,72,8,1,2,0,Nourishment and Culinary Excellence,food presentation,Culinary Arts,Chess,team leadership,Engaging,Chef
82,70,2,1,1,1,Nourishment and Culinary Excellence,food styling,Culinary Arts,Journaling,recipe development,Creative,Chef
82,74,9,0,3,1,Nourishment and Culinary Excellence,international cuisines,Culinary Arts,Chess,dietary restrictions,Culturally aware,Chef
93,81,12,0,5,1,Nourishment and Culinary Excellence,dietary restrictions,Culinary Arts,Chess,cost control,Empathetic,Chef
78,69,3,1,1,1,Nourishment and Culinary Excellence,recipe development,Culinary Arts,Volunteering,international cuisines,Collaborative,Chef
81,76,4,0,4,1,Nourishment and Culinary Excellence,team leadership,Culinary Arts,Creative writing,food presentation,Motivational,Chef
66,70,5,1,3,0,Nourishment and Culinary Excellence,culinary creativity,Culinary Arts,Creative writing,kitchen safety,Visionary,Chef
68,72,6,0,5,1,Nourishment and Culinary Excellence,ingredient sourcing,Culinary Arts,Volunteering,seasonal cooking,Resourceful,Chef
82,74,7,1,4,0,Nourishment and Culinary Excellence,plating and presentation,Culinary Arts,Chess,culinary trends,Artistic,Chef
85,77,10,1,4,0,Nourishment and Culinary Excellence,cost control,Culinary Arts,Volunteering,customer feedback,Financially savvy,Chef
85,75,10,0,2,0,Nourishment and Culinary Excellence,Culinary,Culinary Arts,Webinars  ,event catering,Creativity,Chef
88,75,12,0,4,1,Nourishment and Culinary Excellence,menu planning,Culinary Arts,Budget planning,food styling,Detail-oriented,Chef
85,61,9,0,3,0,Nourishment and Culinary Excellence,Culinary,Culinary Arts,Running  ,Engaging with Culinary Arts,Creativity,Chef
60,74,8,0,5,1,"	Technology and Innovation",Process Design,Chemical Engineering,Mindfulness Practices  ,Process Design,Innovation,Chemical Engineer
69,75,4,1,3,0,Technology and Innovation,process control systems,Chemical Engineering,Wiring,process design,Engaging,Chemical Engineer
74,72,5,0,4,1,Technology and Innovation,regulatory compliance,Chemical Engineering,Circuitry,materials science,Supportive,Chemical Engineer
75,68,10,1,5,1,Technology and Innovation,process design,Chemical Engineering,Machine learning,thermodynamics,Detail-oriented,Chemical Engineer
72,78,12,0,4,1,Technology and Innovation,materials science,Chemical Engineering,Forecasting,chemical reaction engineering,Analytical,Chemical Engineer
63,71,3,0,2,1,Technology and Innovation,chemical synthesis,Chemical Engineering,Robotics,safety and hazard analysis,Insightful,Chemical Engineer
77,72,4,0,4,1,Technology and Innovation,quality control,Chemical Engineering,Robotics,process optimization,Insightful,Chemical Engineer
70,79,5,1,3,0,Technology and Innovation,project management,Chemical Engineering,Design,environmental engineering,Organized,Chemical Engineer
76,70,8,1,2,0,Technology and Innovation,energy balance calculations,Chemical Engineering,Researching,project management,Efficient,Chemical Engineer
65,74,9,0,3,1,Technology and Innovation,reaction kinetics,Chemical Engineering,Component testing,quality control,Strategic,Chemical Engineer
68,66,3,1,1,1,Technology and Innovation,fluid mechanics,Chemical Engineering,Troubleshooting,fluid mechanics,Collaborative,Chemical Engineer
79,75,12,0,5,1,Technology and Innovation,process simulation,Chemical Engineering,Coding,process simulation,Knowledgeable,Chemical Engineer
64,73,6,0,5,1,Technology and Innovation,environmental engineering,Chemical Engineering,Prototyping,chemical process safety,Innovative,Chemical Engineer
67,76,7,1,4,0,Technology and Innovation,process optimization,Chemical Engineering,Wiring,reaction kinetics,Resourceful,Chemical Engineer
73,67,10,1,4,0,Technology and Innovation,chemical process safety,Chemical Engineering,System design,energy balance calculations,Detail-oriented,Chemical Engineer
80,70,11,1,5,1,Technology and Innovation,chemical reaction engineering,Chemical Engineering,Presenting,separation processes,Technical,Chemical Engineer
78,65,8,0,2,1,Technology and Innovation,safety and hazard analysis,Chemical Engineering,Circuitry,chemical plant operations,Ethical,Chemical Engineer
62,78,7,0,1,1,Technology and Innovation,separation processes,Chemical Engineering,Problem-solving,regulatory compliance,Ethical,Chemical Engineer
80,64,6,1,5,0,Technology and Innovation,chemical plant operations,Chemical Engineering,Simulation,process control systems,Results-driven,Chemical Engineer
66,74,9,1,3,0,Technology and Innovation,thermodynamics,Chemical Engineering,Networking,chemical synthesis,Problem-solving,Chemical Engineer
66,79,2,1,1,1,Technology and Innovation,bioprocess engineering,Chemical Engineering,Prototyping,Engaging with Chemical Engineering,Innovative,Chemical Engineer
72,78,12,0,4,1,Cultural Preservation,movement direction,Dance,Writing legal documents,dance composition,Communicative,Choreographer
75,68,10,1,5,1,Cultural Preservation,dance composition,Dance,Negotiation,movement direction,Creative,Choreographer
70,79,5,1,3,0,Cultural Preservation,collaboration with dancers,Dance,Litigation preparation,stage presence,Insightful,Choreographer
66,74,9,1,3,0,Cultural Preservation,stage presence,Dance,Attending legal seminars,rhythm and timing,Charismatic,Choreographer
80,70,11,1,5,1,Cultural Preservation,rhythm and timing,Dance,Mentoring junior lawyers,improvisation,Detail-oriented,Choreographer
78,65,8,0,2,1,Cultural Preservation,improvisation,Dance,Reading case studies,choreography for performances,Adaptable,Choreographer
67,76,7,1,4,0,Cultural Preservation,choreography for performances,Dance,Volunteering in legal aid organizations,teaching dance techniques,Team-oriented,Choreographer
64,73,6,0,5,1,Cultural Preservation,teaching dance techniques,Dance,Studying laws from different countries,collaboration with dancers,Supportive,Choreographer
77,72,4,0,4,1,Cultural Preservation,creative expression,Dance,Contract drafting,creative expression,Innovative,Choreographer
68,66,3,1,1,1,Cultural Preservation,choreography for film,Dance,Participating in mock trials,choreography for film,Visionary,Choreographer
69,80,8,1,3,0,Healthcare,Counseling,Psychology,Cooking Classes  ,Developing treatment plans,Empathy,Clinical Psychologist
70,79,5,1,3,0,Healthcare,group therapy,Psychology,Building Relationships  ,cognitive behavioral therapy,Organized,Clinical Psychologist
77,72,4,0,4,1,Healthcare,psychological testing,Psychology,Reading  ,patient counseling,Insightful,Clinical Psychologist
85,82,4,1,4,1,Healthcare,Counseling,Psychology,Socializing  ,mental health diagnosis,Empathy,Clinical Psychologist
67,76,7,1,4,0,Healthcare,treatment planning,Psychology,Learning New Technologies  ,crisis intervention,Innovative,Clinical Psychologist
60,61,9,0,2,1,Healthcare,Counseling,Psychology,Attending Workshops  ,treatment planning,Empathy,Clinical Psychologist
80,70,11,1,5,1,Healthcare,mental health diagnosis,Psychology,Traveling for Experiences  ,research methodologies,Detail-oriented,Clinical Psychologist
78,65,8,0,2,1,Healthcare,crisis intervention,Psychology,Model Building  ,group therapy,Resourceful,Clinical Psychologist
72,78,12,0,4,1,Healthcare,cognitive behavioral therapy,Psychology,Networking in Tech  ,psychological testing,Analytical,Clinical Psychologist
